0	自己
1	宇宙傳奇
2	\0b - 沙利安人遭遇戰
3	去做一件有益社會的正經事（離開）
4	我改變心意了，繼續玩！
5	當然確定啊！不然我幹嘛選這個？
6	氧氣筒
7	筆記型電腦
8	紙包口香糖
9	炸彈
10	調整圖形細膩度的高低。
11	調整音量大小。
12	調整遊戲動畫的速度。
13	儲存目前的遊戲進度。
14	讀取先前儲存的遊戲進度。
15	重新開始遊戲。
16	離開遊戲。
17	關於本遊戲的資訊。
18	關閉這個選單。
19	切換語音訊息、文字訊息，或兩者同時顯示。
20	切換語音訊息和文字訊息。
21	這個圖示會叫出控制面板。
22	這個圖示是用來「做動作」的。
23	這讓你對某個物品做動作。
24	這個圖示會告訴你其他圖示的用途。
25	這個圖示會叫出物品欄視窗。
26	這個圖示是用來「看」的。
27	選這個圖示，再選一個你想知道說明的物品。
28	選這個圖示來關閉這個視窗。
29	這讓你選取一個物品。
30	這個圖示是用來「聞」的。
31	這個圖示是用來「說話」的。
32	這個圖示是用來「嚐」的。
33	這個視窗會顯示目前選取的物品。
34	這個圖示是用來「走路」的。
35	是你，羅傑·威爾科，太空界的那個誰。
36	你有一罐綠色的酸液。
37	你有一個空罐子。
38	一本《宇宙傳奇 IV》攻略本。
39	你現在忙得很，沒空幹那個。
40	喂！這可不是免費的提示服務。看之前得先付錢！
41	抱歉，你的記憶體不夠，沒辦法看這本攻略本。
42	沒錯，這是一台「自動爆雷機」電動提示揭曉器。
43	一張「自動太空幣」提款機卡。
44	一根顯然抽過的雪茄。
45	你自言自語，卻想不出該怎麼回話。
46	菸頭飄出的惡臭菸味，說明這根雪茄已經點著了。
47	你把這根貼心先濕好的雪茄叼在嘴裡，點上火柴，接著差點把肺給咳出來。
48	一小盒火柴。
49	磁片上的標籤寫著：小羅傑腦力工具──特技飛行員
50	一隻超可愛的兔子。
51	你從兔子塑膠軀幹的背後，取出隨身電力丸。
52	你笨手笨腳地把電池塞進毛絨兔子中空的軀幹裡。
53	一顆電池。
54	一個氧氣筒。
55	一段破爛的繩子。
56	喂！雙手放規矩點！這可是闔家歡遊戲。
57	一台好用的「口袋良伴」攜帶式終端機。
58	你的「口袋良伴」現在有電了。現在只差一個能用它的地方。
59	你把電池從「口袋良伴」裡取出來。
60	這只是個沒智慧的終端機，自己什麼都做不了。
61	你把行動電力筒插進筆記型電腦。
62	你把插頭接上「口袋良伴」。
63	是紙包口香糖。
64	這些符號看起來有點眼熟，你到底在哪見過啊？
65	這團皺巴巴、紙包著的東西看起來挺有意思的。
66	一件不穩定的爆裂物。
67	我猜你巴不得能吧！
68	你在這裡沒辦法用那個。
69	你不需要看那個。
70	啊～你身上散發出好幾款冒險遊戲的味道。
71	你把這根抽過的菸屁股叼進嘴裡，聞到一絲油膩和難聞的氣味後，決定留到特別的日子再享用。
72	「時間長河再見啦，時空騎士！」
73	「你確定要重新開始嗎？」
74	雪茄熄了。
