1104	Estros
1105	Mall
1106	Xenon
1107	Ulence
1108	"ENT"? Must be a secret code. Perhaps it means "SELF DESTRUCT" or maybe "CHANGE RETURN"?
1109	That's your head, Roger. Now use it for something.
1110	You talk to yourself.
1111	Scratching your head doesn't make it work any better. It only loosens unsightly dandruff.
1112	It's some sort of monitor. Probably used to monitor something or other.
1113	This appears to be the display for the keypad below it.
1114	This is a small panel which provides access to the innards of the time pod. IF you have a 3P-223/4QR access panel wrench, that is.
1115	The small access panel is inaccessible.
1116	It's a large compartment that's probably full of instruction manuals, code books, time maps, and the like. Too bad it's also locked.
1117	The large compartment doesn't actually open.
1118	A standard time-pod headrest. Not very comfortable, but the regular operators have metal heads, so it's not a concern... for them.
1119	The powerful quad-quark drives rev to life!
1120	The time pod's headrest is non-adjustable. Evidently, Sequel Police are all the same height.
1121	Those are unshielded quark power cables. No telling what they're doing to your DNA's genetic structures right now.
1122	You don't want to touch those. You might mutate your fingers.
1123	This is the Time/Space Coordinate Entry Unit.
1124	It's part of the Time/Space Coordinate Entry Unit.
1125	That button opens the canopy.
1126	Placing your proboscus closer to the switch would result in severe quark burns from the unshielded cables. But it might also rid you of those unsightly nose hairs.
1127	Licking switches is never a good idea unless your into the kind of buzz that causes you to loose all control of your muscle system. This could results in the lose of control of all bodily functions.
1128	You're sitting inside a time machine, remember?
1129	The time pod's interior feels smooth and cool to the touch.
1130	Time and space bend under the fibrilations of the time rip trans-fluxers. Your adrenalin (and stomach) reel with the hyperbolic hyperbole...!
1131	Not only does the time pod look like a used tennis shoe, from the inside, it SMELLS like one, too!
1132	Peering through the port you see an unusual land. It's wind-carved pinnacles and buttes bring back memories of the planet Kerona where this whole adventure mess started.
1133	This looks like some type of arcade where people mindlessly go adrenal via the latest and not-so-late mind-boggling shoot-m-ups and maze games.
1134	You look out at the city you were born in decades ago. You're sure glad you weren't here when this devastion happened. You might have gotten hurt. On the bright side, you won't have to pay those delinquent traffic tickets.
1135	Memories race through your mind. You know you've seen this place in your distant past. The low-resolution features look exactly like a place you once visited called Ulence Flats.
1136	This view provides a flashback to a recent adventure. It looks real hot out there. Hot enough for ThermoWeave underware.
1137	You look out at the city you were born in decades ago. The capital building stands (just barely) with a huge hole in it. You're sure glad you weren't here when it happened. You might have gotten hurt. On the bright side, you won't have to pay those delinquent traffic tickets.
1138	Blue frogs on my shoulder makes me hap-py...
1139	Where To?
1140	It was the "I Love Lunacy" show! You must have briefly tuned into the electronic entrails of some long-lost civilization.
1141	And, finally... FINALLY...
1142	... nothing happens. You're already there, Roger!
1143	Nothing much happens. That must not have been a valid code. Try again!
1144	It's a button with a strange symbol on it. You vaguely remember these symbols from your fifth grade Time Theory class with crazy Mrs. Drimple.
1145	This is a manual keypad. The voice-activated model won't be out until SQ XIV or so.
1146	The read-out displays some interesting symbols similiar to those on the keypad. You wonder if these might bear some significance.
1147	This is an exhaust turbine.
1148	This is the shuttle's landing gear.
1149	You climb up into the landing gear housing. How clever you are.
1150	This is a fueling unit for the patrol shuttle.
1151	This is a maintenance unit for the shuttle. It's of no interest.
